Species CountA CountC CountG CountT CountA_Syn CountC_Syn CountG_Syn CountT_Syn
Amazona_ochrocephala.ND2 9393 10240 2351 6004 2666 2324 136 429
Ambloplites_ariommus.CytB 1213 1927 984 1546 265 527 127 167
Ambloplites_rupestris.CytB 2185 3466 1768 2787 477 946 227 304
Amblyeleotris_wheeleri.ND1 1490 2203 1109 1708 387 549 154 225
Amblyrhynchus_cristatus.CytB 1898 2243 850 1669 608 459 37 89
Amblyrhynchus_cristatus.ND2 2019 1996 568 1123 582 422 42 108
Amblysomus_hottentotus.ND2 22597 15340 5489 19214 5650 2210 147 1846
Ambystoma_barbouri.CytB 8272 5803 3154 9267 2059 750 117 938
Amolops_mantzorum.CytB 2821 4163 1703 3265 699 1052 158 347
Amolops_wuyiensis.ND4 1459 1571 681 1725 332 322 46 254
Amolops_wuyiensis.ND4L 281 284 143 408 41 88 7 57
Amphilophus_citrinellus.CytB 1119 1487 604 1325 277 363 19 157
Amphiprion_akallopisos.ATP6 717 783 334 770 215 131 31 135
Amphiprion_akallopisos.CytB 1143 1310 627 1264 397 249 17 138
Amphiprion_clarkii.ATP6 1279 1464 584 1356 385 276 43 215
Amphiprion_clarkii.CytB 1212 1407 640 1301 349 304 25 130
Amphiprion_frenatus.CytB 1143 1372 636 1241 386 287 23 120
Amphiprion_ocellaris.ATP6 1228 1503 649 1173 373 280 111 166
Amphiprion_ocellaris.CytB 1193 1376 667 1324 340 278 38 172
Amphiprion_ocellaris.ND3 313 439 211 429 92 104 16 60
Amphiprion_percula.ATP6 747 868 345 716 236 163 35 102
Amphiprion_perideraion.ATP6 759 796 340 796 233 128 31 132
Amphiprion_sebae.ATP6 729 814 327 782 205 152 29 120
Amyda_cartilaginea.CytB 4507 4224 1692 3731 1471 657 82 281
Anabas_testudineus.CytB 1048 1379 635 1198 257 299 44 168
Anabas_testudineus.ND2 7687 9267 3546 6464 2044 2101 339 1088
Anaecypris_hispanica.CytB 14953 15820 9105 16370 4167 3035 1239 1557
Anarhichas_lupus.CytB 1280 1702 986 1732 315 370 126 279
Anarhichas_lupus.ND1 4314 5672 3002 5612 891 1349 365 973
Anas_crecca.ND2 3088 3595 1248 2134 971 741 95 206
Anas_platyrhynchos.ATP6 963 1276 403 763 304 265 73 55
Anas_platyrhynchos.ATP8 230 258 47 119 68 56 4 8
Anas_platyrhynchos.COX1 1578 2030 1094 1490 426 454 130 142
Anas_platyrhynchos.CytB 1216 1598 641 1105 360 327 77 92
Anas_platyrhynchos.ND1 991 1352 609 948 300 313 92 72
Anas_platyrhynchos.ND2 6974 8468 3251 4932 2145 1914 397 287
Anas_platyrhynchos.ND4 2435 2936 1003 1888 756 627 138 129
Anas_poecilorhyncha.ND2 4168 5029 1936 2952 1280 1146 236 167
Andinoacara_coeruleopunctatus.ATP6 6749 7273 2901 7564 1542 1555 201 1084
Andinoacara_rivulatus.ATP6 959 971 394 1076 232 171 23 190
Andrias_davidianus.ATP6 806 604 309 1005 160 68 35 181
Andrias_davidianus.COX1 1671 1282 1061 2178 412 211 66 335
Andrias_davidianus.COX3 846 684 511 1091 180 118 22 148
Andrias_davidianus.CytB 1271 1139 685 1465 338 188 83 173
Andrias_davidianus.ND2 3522 2436 1337 3625 665 422 90 424
Anguilla_anguilla.ATP6 3801 3338 1551 3451 1464 456 134 443
Anguilla_anguilla.CytB 2976 2816 1549 2892 1036 406 151 271
Anguilla_australis_australis.CytB 6085 5829 2934 5618 2124 934 180 467
Anguilla_australis_schmidti.CytB 6760 6475 3259 6246 2355 1032 204 524
Anguilla_bicolor_bicolor.CytB 19172 16813 8643 16770 7047 2132 451 1386
Anguilla_bicolor_pacifica.CytB 9311 8094 4068 8089 3501 991 88 701
Anguilla_celebesensis.CytB 3101 3071 1434 2774 1099 440 53 277
Anguilla_japonica.CytB 10631 10023 4923 9670 3761 1520 232 847
Anguilla_luzonensis.CytB 10634 9835 5231 10237 3889 1363 364 953
Anguilla_malgumora.CytB 1380 1290 647 1231 500 195 41 96
Anguilla_marmorata.CytB 32850 30114 14874 29040 11985 3964 570 2746
Anguilla_mossambica.CytB 1392 1248 637 1271 501 175 29 109
Anguilla_rostrata.ATP6 3622 3155 1471 3308 1387 427 132 420
Anguilla_rostrata.CytB 1336 1238 669 1305 468 182 45 129
Anguis_cephallonica.ND2 4810 4610 1748 3232 1441 919 177 282
Anguis_fragilis.ND2 11290 11691 4764 8255 3093 2467 502 934
Anniella_pulchra.ND2 14964 13877 4384 9570 4534 2395 361 1280
Anodorhynchus_hyacinthinus.CytB 3369 4251 1514 3168 986 911 88 273
Anolis_allisoni.ND2 22929 18738 6791 18673 6183 3224 531 2021
Anolis_allogus.ND1 9237 7591 4066 8805 2965 1173 272 825
Anolis_carolinensis.ND2 111796 90845 33922 99996 29716 17065 2913 10360
Anolis_homolechis.ND1 12749 9333 5016 12370 3653 1514 375 1088
Anolis_jubar.ND1 3764 2798 1532 3606 1127 425 117 312
Anolis_porcatus.ND2 25005 19786 7232 21119 6704 3342 615 2227
Anolis_sagrei.ND1 12628 9317 5232 12421 3941 1386 371 1153
Anourosorex_squamipes.CytB 47734 38204 20298 50670 14262 5894 819 4187
Anourosorex_squamipes.ND2 33318 18665 7929 28286 8336 1935 198 2688
Anourosorex_yamashinai.CytB 2796 2143 1105 3028 808 324 7 281
Anser_anser.COX2 3842 4361 2187 2876 865 830 225 329
Anser_anser.COX3 1799 2234 1062 1493 539 449 106 64
Anser_cygnoides.COX1 2515 2983 1528 2262 745 658 112 202
Anser_cygnoides.COX2 7491 8518 4296 5624 1711 1613 431 647
Anser_cygnoides.COX3 4015 5091 2392 3244 1229 988 245 165
Anser_cygnoides.CytB 2523 3222 1279 2072 797 649 125 125
Anser_cygnoides.ND1 1354 1573 709 1239 465 296 74 129
Anser_cygnoides.ND2 1571 1830 629 1160 448 400 80 104
Anser_cygnoides.ND4 2075 2403 825 1582 659 471 116 100
Ansonia_muelleri.ND1 6059 4967 2664 6439 1651 688 189 989
Antidorcas_marsupialis.CytB 1795 1587 763 1536 590 204 45 119
Antilope_cervicapra.CytB 1801 1623 756 1501 611 243 28 91
Aotus_azarai.COX1 1763 1488 965 2000 466 249 59 303
Aotus_azarai.COX2 1458 1262 576 1361 280 216 27 203
Aotus_azarai.CytB 2911 2858 1264 3196 740 540 56 400
Aotus_azarai_azarai.COX2 1042 886 407 946 192 146 19 149
Aotus_lemurinus.COX2 954 842 379 890 170 154 26 126
Aotus_lemurinus.CytB 1649 1633 671 1730 409 312 33 224
Aotus_nancymaae.COX1 2227 1893 1198 2452 612 327 63 345
Aotus_nancymaae.COX2 2462 2146 929 2148 435 416 57 280
Aotus_nancymaae.CytB 2322 2224 930 2483 561 434 41 314
Aphanius_anatoliae.ND1 5935 6658 4148 7154 1789 1400 484 985
Aphanius_iberus.ND1 2148 2903 1716 2935 513 700 220 474
Aphanopus_carbo.CytB 1916 2637 1198 2228 477 651 101 229
Apodemus_agrarius.ATP6 5575 4588 1783 5681 1638 564 73 865
Apodemus_agrarius.ATP8 394 284 66 313 86 36 6 41
Apodemus_agrarius.COX1 14855 11999 8237 15786 4915 1605 392 2215
Apodemus_agrarius.COX2 3236 2240 1284 2773 753 157 45 501
Apodemus_agrarius.COX3 4801 4080 2334 5213 1477 602 71 693
Apodemus_agrarius.CytB 48548 43216 20158 46529 14710 6440 1023 4227
Apodemus_agrarius.ND1 5735 4531 2091 5765 1704 654 119 617
Apodemus_agrarius.ND2 10320 7694 2388 8583 2646 986 130 960
Apodemus_agrarius.ND3 2019 1277 580 1989 474 163 18 229
Apodemus_agrarius.ND4 21597 16101 6199 19401 5239 2110 367 2339
Apodemus_agrarius.ND4L 1095 908 450 1369 265 138 48 239
Apodemus_argenteus.CytB 38179 32188 14716 38037 11085 4751 257 3708
Apodemus_chejuensis.CytB 9179 8071 3720 8748 2858 1197 134 751
Apodemus_chevrieri.CytB 3505 3133 1453 3309 1081 417 91 326
Apodemus_draco.CytB 16797 12766 6386 15801 5327 1267 212 1495
Apodemus_flavicollis.CytB 6871 5876 2631 6280 2056 788 79 588
Apodemus_ilex.CytB 51136 39050 18905 47089 16538 3357 408 4989
Apodemus_latronum.CytB 22648 17775 9045 21686 7413 1476 285 2365
Apodemus_peninsulae.CytB 17155 14298 7076 17271 5577 1953 187 1717
Apodemus_speciosus.CytB 15163 12554 5844 14066 4827 1652 100 1189
Apodemus_sylvaticus.CytB 45268 37296 17786 44393 13841 4614 394 4702
Apteronotus_albifrons.CytB 2591 3259 1374 2853 725 793 36 300
Apteryx_australis.ATP6 2838 3260 831 2605 870 595 12 431
Apus_affinis.ND2 1252 1292 374 874 340 269 28 77
Ara_ararauna.ND2 1120 1226 289 833 292 266 31 87
Ara_militaris.ATP6 913 1184 347 751 261 290 43 97
Ara_militaris.ND2 1531 1641 463 1135 425 337 42 114
Arachnothera_longirostra.CytB 1562 1848 778 1437 482 359 67 144
Arapaima_gigas.ATP6 2304 2347 860 2562 697 365 97 355
Arapaima_gigas.ND1 6062 5846 2530 5911 1939 1051 137 687
Arapaima_gigas.ND2 1385 1129 420 1086 370 204 5 131
Arborophila_ardens.CytB 1937 2388 800 1715 539 546 18 119
Arborophila_ardens.ND2 1988 2298 525 1552 497 548 21 200
Archilochus_colubris.ND2 1293 1434 426 994 325 312 54 99
Arctocephalus_forsteri.ATP6 3638 3628 1454 3484 801 653 167 472
Arctocephalus_forsteri.ATP8 391 261 85 268 68 18 29 30
Arctocephalus_forsteri.COX1 8066 7581 5143 8508 2304 1352 499 981
Arctocephalus_forsteri.COX2 2768 2097 1145 2198 609 247 99 318
Arctocephalus_forsteri.COX3 2614 2827 1407 2548 746 540 92 253
Arctocephalus_forsteri.CytB 7699 7682 3560 6865 2368 1446 309 325
Arctocephalus_forsteri.ND1 4921 5113 2262 4066 1547 996 292 273
Arctocephalus_forsteri.ND2 8480 6165 2229 6028 2383 950 234 387
Arctocephalus_forsteri.ND3 737 743 320 615 207 156 24 41
Arctocephalus_forsteri.ND4 7587 6761 2798 6263 1979 1093 398 639
Arctocephalus_forsteri.ND4L 618 567 251 622 192 103 14 50
Arius_arius.CytB 1426 1813 758 1478 423 384 54 144
Arius_maculatus.ATP6 663 732 285 612 177 152 32 76
Arremon_aurantiirostris.ND2 3050 3683 1090 2557 744 828 80 397
Arses_telescopthalmus.ND3 479 510 257 494 128 94 43 34
Artamus_personatus.ND2 12664 12955 4338 9400 3540 2440 425 1047
Artamus_superciliosus.ND2 9491 9698 3260 7069 2657 1829 317 782
Artibeus_cinereus.CytB 6508 6646 2954 6572 1961 1276 43 725
Artibeus_fimbriatus.CytB 13574 13016 5886 14018 4195 2393 12 1644
Artibeus_glaucus.CytB 3877 3758 1845 4128 1183 635 70 517
Artibeus_intermedius.CytB 3876 3824 1797 4111 1153 651 57 536
Artibeus_jamaicensis.CytB 19024 18048 8550 20323 5602 3359 77 2366
Artibeus_lituratus.CytB 43747 42914 20236 46588 13048 7364 501 6004
Artibeus_obscurus.CytB 13099 12778 5857 13625 3963 2326 78 1583
Artibeus_phaeotis.CytB 3586 3560 1662 3665 1066 682 23 407
Artibeus_planirostris.CytB 45395 43679 20240 49025 13560 7918 176 5975
Aspidomorphus_lineaticollis.CytB 6362 6205 2316 6093 1573 1072 208 615
Astatotilapia_calliptera.ND2 1821 2452 775 1798 423 622 41 370
Astyanax_aeneus.CytB 43181 43887 20666 49058 11593 8181 781 6779
Astyanax_fasciatus.ATP6 1780 1751 793 1805 583 294 93 238
Asymmetron_lucayanum.ATP6 1632 1557 916 2051 332 328 84 297
Asymmetron_lucayanum.ATP8 386 248 151 412 77 8 19 52
Asymmetron_lucayanum.COX1 3632 2994 2483 4796 951 394 210 791
Asymmetron_lucayanum.COX2 1461 1076 830 1463 304 180 38 231
Asymmetron_lucayanum.COX3 1703 1687 1337 2347 434 272 121 372
Asymmetron_lucayanum.CytB 2581 2576 1631 3472 590 506 143 482
Asymmetron_lucayanum.ND3 691 686 449 982 160 124 41 135
Asymmetron_lucayanum.ND4L 473 477 294 667 107 108 32 77
Ateles_belzebuth.COX2 2349 1958 991 2093 483 278 47 283
Ateles_belzebuth.CytB 1916 2012 823 1981 497 383 42 257
Ateles_geoffroyi.ATP6 866 778 266 802 239 147 17 92
Ateles_geoffroyi.CytB 2478 2448 1039 2555 664 442 48 314
Atherinomorus_endrachtensis.CytB 7309 9286 4443 8602 1895 1856 316 1395
Automolus_ochrolaemus.COX2 1234 1134 576 1142 293 171 6 210
Automolus_rubiginosus.COX2 2168 2052 1054 2051 465 365 28 343
Auxis_rochei.ATP6 1014 1351 560 1104 317 261 57 204
Auxis_rochei.COX1 1955 2140 1444 2201 615 334 109 387
Auxis_rochei.COX2 999 969 561 921 240 126 40 154
Auxis_rochei.COX3 1001 1249 673 992 292 232 37 154
Auxis_rochei.CytB 3597 4811 2264 3875 1116 985 186 448
Auxis_rochei.ND1 1171 1609 792 1288 339 364 90 198
Auxis_rochei.ND2 1527 1769 800 1268 424 340 132 213
Auxis_rochei.ND3 234 407 201 310 70 104 20 33
Auxis_rochei.ND4 1797 2252 1107 1744 503 518 121 233
Auxis_rochei.ND4L 247 427 190 312 83 100 14 43
Auxis_thazard.CytB 3871 5146 2405 4244 1172 1086 205 493
Avahi_laniger.COX2 835 762 385 741 175 124 25 118
Avahi_laniger.CytB 11185 12294 5475 10841 2968 2285 530 1217
Avahi_laniger.ND3 1836 1826 1013 1880 478 354 109 189
Avahi_laniger.ND4 18058 17289 7205 16530 4535 3027 762 2029
Avahi_laniger.ND4L 1168 1402 607 1431 314 353 99 106
Axis_porcinus.CytB 1781 1535 724 1645 552 236 31 106
Bagarius_yarrelli.CytB 1659 1618 764 1644 489 302 51 129
Bagre_bagre.ATP6 1226 1166 400 1258 343 211 10 203
Bagre_bagre.ATP8 208 159 60 173 48 16 4 24
Balaena_mysticetus.ATP6 878 840 252 742 233 163 1 91
Balaena_mysticetus.COX3 867 891 453 921 218 160 26 108
Balaena_mysticetus.CytB 13547 14261 5934 11738 3944 2807 313 719
Balaena_mysticetus.ND1 7617 7875 3044 6268 2392 1556 182 478
Balaena_mysticetus.ND2 1405 1198 372 997 337 244 28 79
Balaena_mysticetus.ND4 2547 2687 879 2149 689 547 45 203
Balaena_mysticetus.ND4L 420 441 172 421 106 106 7 36
Balaenoptera_physalus.ATP6 9647 8888 3321 9188 2421 1438 156 1416
Balaenoptera_physalus.ATP8 1376 1027 221 909 224 175 33 102
Balaenoptera_physalus.COX1 23509 21652 13348 23509 7069 3612 696 3075
Balaenoptera_physalus.COX2 8119 6098 3250 6367 2102 1009 36 571
Balaenoptera_physalus.COX3 7126 7684 3665 7353 1964 1560 36 812
Balaenoptera_physalus.CytB 19511 20687 8488 16701 6298 4018 174 953
Balaenoptera_physalus.ND1 17509 16811 6681 14315 5580 3242 307 846
Balaenoptera_physalus.ND2 26935 22155 7186 20119 6595 4177 673 2085
Balaenoptera_physalus.ND3 1740 1697 800 1638 418 331 19 169
Balaenoptera_physalus.ND4 24785 23907 8029 21736 6406 4821 466 2196
Balaenoptera_physalus.ND4L 1199 1250 555 1357 310 253 193 NA
Balistes_capriscus.CytB 1055 1386 681 1282 246 337 86 123
Bambusicola_fytchii.CytB 1236 1637 601 1074 350 355 47 76
Bambusicola_thoracicus.CytB 9627 11851 4215 8507 2956 2571 178 557
Bandicota_indica.CytB 3106 3068 1402 3071 1031 474 68 261
Barbatula_barbatula.CytB 77669 85943 50453 87301 23001 16596 5923 7884
Barbatula_nuda.CytB 1140 1310 799 1311 312 265 107 126
Barbatula_toni.CytB 1332 1593 964 1571 367 330 126 141
Barbatula_vardarensis.CytB 4554 4905 2884 5129 1349 958 331 474
Barbonymus_schwanenfeldii.CytB 2020 2039 902 1733 706 336 50 102
Barbonymus_schwanenfeldii.ND4 2232 1962 915 1786 747 346 61 134
Barbus_balcanicus.CytB 1892 1948 1078 1922 600 305 144 183
Barbus_barbus.CytB 7428 7621 3981 7190 2438 1259 437 617
Barbus_carpathicus.ATP6 1379 1321 700 1367 467 202 99 146
Barbus_carpathicus.CytB 2826 2889 1638 2853 916 442 209 279
Barbus_cyclolepis.CytB 2799 3009 1666 2786 916 494 227 231
Barbus_petenyi.ATP6 1162 1157 623 1144 401 192 102 118
Barbus_plebejus.CytB 7637 7984 4027 7352 2501 1365 378 649
Barbus_rebeli.CytB 9543 9950 5403 9304 3139 1602 684 814
Barisia_imbricata.ATP6 7022 6100 2175 6397 1925 962 245 805
Basileuterus_rivularis.ATP6 1432 1689 469 1177 515 332 35 101
Basileuterus_rivularis.COX1 1690 1978 1041 1483 565 419 60 140
Basileuterus_rivularis.COX2 785 879 398 578 197 171 14 82
Basileuterus_rivularis.CytB 1535 1924 715 1342 500 404 34 105
Basileuterus_tristriatus.ND2 31031 35262 10125 25303 7755 7773 633 3292
Bathygobius_geminatus.CytB 8545 10250 5720 11125 2368 2080 508 1608
Bathygobius_soporator.CytB 16763 23785 11603 20584 3908 5940 1191 2419
Batrachuperus_pinchonii.ND1 935 555 349 1062 241 65 18 114
Batrachuperus_pinchonii.ND2 1836 998 490 1881 390 95 27 216
Batrachuperus_yenyuanensis.ND2 1863 997 464 1872 382 92 25 217
Beaufortia_kweichowensis.CytB 1253 1342 686 1279 387 276 58 93
Belonesox_belizanus.CytB 1082 1412 649 1393 217 337 43 225
Beryx_splendens.CytB 1783 2279 1002 1776 552 532 38 193
Bipes_biporus.ND1 808 919 412 642 295 190 33 51
