HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common.name	Female.maturity..days.	Male.maturity..days.	Gestation.Incubation..days.	Weaning..days.	Litter.Clutch.size	Litters.Clutches.per.year	Inter.litter.Interbirth.interval	Birth.weight..g.	Weaning.weight..g.	Adult.weight..g.	Growth.rate..1.days.	Maximum.longevity..yrs.	Source	Specimen.origin	Sample.size	Data.quality	IMR..per.yr.	MRDT..yrs.	Metabolic.rate..W.	Body.mass..g.	Temperature..K.	References
578	Animalia	Chordata	Actinopterygii	Perciformes	Sciaenidae	Micropogonias	Micropogonias_undulatus	Atlantic croaker	365	365	NA	NA	NA	NA	NA	NA	NA	1419	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
579	Animalia	Chordata	Actinopterygii	Perciformes	Sciaenidae	Pogonias	Pogonias_cromis	Black drum	NA	NA	NA	NA	NA	NA	NA	NA	NA	28215	NA	43	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
580	Animalia	Chordata	Actinopterygii	Perciformes	Sciaenidae	Sciaenops	Sciaenops_ocellatus	Red drum	1642	1277	NA	NA	NA	NA	NA	NA	NA	24750	NA	50	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
581	Animalia	Chordata	Actinopterygii	Perciformes	Sciaenidae	Totoaba	Totoaba_macdonaldi	Totoaba	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1
582	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Auxis	Auxis_thazard	Frigate tuna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
583	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Euthynnus	Euthynnus_affinis	Little tunny	NA	NA	NA	NA	NA	NA	NA	NA	NA	7700	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
584	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Katsuwonus	Katsuwonus_pelamis	Skipjack tuna	1095	NA	NA	NA	NA	NA	NA	NA	NA	18975	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
585	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Rastrelliger	Rastrelliger_brachysoma	Indian mackerel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
586	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Sarda	Sarda_sarda	Atlantic bonito	365	365	NA	NA	NA	NA	NA	NA	NA	6050	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
587	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomber	Scomber_japonicus	Chub mackerel	821	821	NA	NA	NA	NA	NA	NA	NA	1595	NA	18	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
588	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomber	Scomber_scombrus	Atlantic mackerel	784	784	NA	NA	NA	NA	NA	NA	NA	1870	NA	17	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454585
589	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomberomorus	Scomberomorus_commerson	King mackerel	912	NA	NA	NA	NA	NA	NA	NA	NA	38500	NA	14	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
590	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomberomorus	Scomberomorus_maculatus	Spanish mackerel	1095	730	NA	NA	NA	NA	NA	NA	NA	3239.5	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454520
591	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Scomberomorus	Scomberomorus_tritor	West African Spanish mackerel	NA	NA	NA	NA	NA	NA	NA	NA	NA	3300	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
592	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Thunnus	Thunnus_alalunga	Albacore	1825	1825	NA	NA	2e6	1	365	NA	NA	33165	NA	13	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454716717
593	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Thunnus	Thunnus_albacares	Yellowfin tuna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	520	wild	medium	acceptable	NA	NA	NA	NA	NA	520
594	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Thunnus	Thunnus_maccoyii	Southern bluefin tuna	3102	3102	NA	NA	NA	NA	NA	NA	NA	143e3	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
595	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Thunnus	Thunnus_obesus	Bigeye tuna	NA	NA	NA	NA	NA	NA	NA	NA	NA	115500	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
596	Animalia	Chordata	Actinopterygii	Perciformes	Scombridae	Thunnus	Thunnus_thynnus	Northern bluefin tuna	1368	1368	NA	NA	NA	NA	NA	NA	NA	376200	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
597	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Centropristis	Centropristis_striata	Black sea bass	NA	NA	NA	NA	NA	NA	NA	NA	NA	2365	NA	20	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
598	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Cephalopholis	Cephalopholis_miniata	Bluespot rockcod	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
599	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Epinephelus_areolatus	Areolate grouper	NA	NA	NA	NA	NA	NA	NA	NA	NA	770	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
600	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Epinephelus_chlorostigma	Brownspotted grouper	1095	NA	NA	NA	NA	NA	NA	NA	NA	3850	NA	29	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
601	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Epinephelus_coioides	Orange-spotted grouper	912	NA	NA	NA	NA	NA	NA	NA	NA	8250	NA	22	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
602	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Epinephelus_drummondhayi	Speckled hind	NA	NA	NA	NA	NA	NA	NA	NA	NA	16500	NA	25	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
603	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Epinephelus_flavolimbatus	Yellowedge grouper	NA	NA	NA	NA	NA	NA	NA	NA	NA	10230	NA	32	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
604	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Epinephelus_marginatus	Dusky grouper	4015	NA	NA	NA	NA	NA	NA	NA	NA	33e3	NA	50	583	captivity	tiny	acceptable	NA	NA	NA	NA	NA	454583
605	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Epinephelus_niveatus	Snowy grouper	1825	NA	NA	NA	NA	NA	NA	NA	NA	16500	NA	27	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
606	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Epinephelus	Epinephelus_striatus	Nassau grouper	NA	NA	NA	NA	NA	NA	NA	NA	NA	13750	NA	16	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
607	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Mycteroperca	Mycteroperca_interstitialis	Yellowmouth grouper	NA	NA	NA	NA	NA	NA	NA	NA	NA	5610	NA	41	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
608	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Mycteroperca	Mycteroperca_phenax	Scamp	NA	NA	NA	NA	NA	NA	NA	NA	NA	7810	NA	21	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
609	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Paralabrax	Paralabrax_clathratus	Kelp bass	NA	NA	NA	NA	NA	NA	NA	NA	NA	3850	NA	31	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
610	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Paralabrax	Paralabrax_nebulifer	Barred sand bass	NA	NA	NA	NA	NA	NA	NA	NA	NA	3289	NA	31	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
611	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Plectropomus	Plectropomus_leopardus	Bluedotted coraltrout	1095	1277	NA	NA	NA	NA	NA	NA	NA	12980	NA	26	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
612	Animalia	Chordata	Actinopterygii	Perciformes	Serranidae	Serranus	Serranus_scriba	Ocean perch	NA	NA	NA	NA	NA	NA	NA	NA	NA	8250	NA	60	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
613	Animalia	Chordata	Actinopterygii	Perciformes	Sillaginidae	Sillaginodes	Sillaginodes_punctatus	Spotted sillago	1277	1277	NA	NA	NA	NA	NA	NA	NA	2640	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
614	Animalia	Chordata	Actinopterygii	Perciformes	Sillaginidae	Sillago	Sillago_ciliata	Sand whiting	NA	NA	NA	NA	NA	NA	NA	NA	NA	770	NA	22	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
615	Animalia	Chordata	Actinopterygii	Perciformes	Sillaginidae	Sillago	Sillago_schomburgkii	Western sand whiting	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
616	Animalia	Chordata	Actinopterygii	Perciformes	Sillaginidae	Sillago	Sillago_sihama	Northern whiting	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
617	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Acanthopagrus	Acanthopagrus_australis	Surf bream	NA	NA	NA	NA	NA	NA	NA	NA	NA	2475	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
618	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Acanthopagrus	Acanthopagrus_butcheri	Southern black bream	912	912	NA	NA	NA	NA	NA	NA	NA	2200	NA	29	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
619	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Archosargus	Archosargus_probatocephalus	Sheepshead	730	730	NA	NA	NA	NA	NA	NA	NA	2e3	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454502
620	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Calamus	Calamus_nodosus	Knobbed porgy	NA	NA	NA	NA	NA	NA	NA	NA	NA	1446.5	NA	17	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
621	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Chrysophrys	Chrysophrys_auratus	Squirefish	1277	1277	NA	NA	NA	NA	NA	NA	NA	11e3	NA	35	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
622	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_annularis	Annular seabream	730	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
623	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Diplodus	Diplodus_sargus	White seabream	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e3	NA	21	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
624	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Lithognathus	Lithognathus_aureti	West coast seabream	3084	1971	NA	NA	NA	NA	NA	NA	NA	10615	NA	50	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
625	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Pagellus	Pagellus_bogaraveo	Blackspot seabream	NA	NA	NA	NA	NA	NA	NA	NA	NA	2200	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
626	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Sparus	Sparus_aurata	Gilthead seabream	NA	NA	NA	NA	NA	NA	NA	NA	NA	9460	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
627	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Spondyliosoma	Spondyliosoma_cantharus	Black sea bream	NA	NA	NA	NA	NA	NA	NA	NA	NA	671	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454520
628	Animalia	Chordata	Actinopterygii	Perciformes	Sparidae	Stenotomus	Stenotomus_chrysops	Scup	NA	NA	NA	NA	NA	NA	NA	NA	NA	1133	NA	19	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
629	Animalia	Chordata	Actinopterygii	Perciformes	Sphyraenidae	Sphyraena	Sphyraena_argentea	Pacific barracuda	NA	NA	NA	NA	NA	NA	NA	NA	NA	6600	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454520
630	Animalia	Chordata	Actinopterygii	Perciformes	Sphyraenidae	Sphyraena	Sphyraena_barracuda	Great barracuda	1460	730	NA	NA	NA	NA	NA	NA	NA	24e3	NA	14	502	unknown	medium	acceptable	NA	NA	NA	NA	NA	502
631	Animalia	Chordata	Actinopterygii	Perciformes	Trichiuridae	Trichiurus	Trichiurus_lepturus	Atlantic cutlassfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	2750	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
632	Animalia	Chordata	Actinopterygii	Perciformes	Tripterygiidae	Bellapiscis	Bellapiscis_lesleyae	Mottled twister	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
633	Animalia	Chordata	Actinopterygii	Perciformes	Tripterygiidae	Forsterygion	Forsterygion_lapillum	Common triplefin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
634	Animalia	Chordata	Actinopterygii	Perciformes	Tripterygiidae	Forsterygion	Forsterygion_varium	Striped triplefin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
635	Animalia	Chordata	Actinopterygii	Perciformes	Uranoscopidae	Kathetostoma	Kathetostoma_giganteum	Flathead	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
636	Animalia	Chordata	Actinopterygii	Perciformes	Zoarcidae	Lycodes	Lycodes_pacificus	Blackbelly eelpout	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
637	Animalia	Chordata	Actinopterygii	Perciformes	Zoarcidae	Zoarces	Zoarces_americanus	Ocean pout	NA	NA	NA	NA	NA	NA	NA	NA	NA	2989.8	NA	18	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454584
638	Animalia	Chordata	Actinopterygii	Perciformes	Zoarcidae	Zoarces	Zoarces_viviparus	Viviporous blenny	NA	NA	NA	NA	NA	NA	NA	NA	NA	280.5	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
639	Animalia	Chordata	Actinopterygii	Percopsiformes	Amblyopsidae	Forbesichthys	Forbesichthys_agassizii	Spring cavefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
640	Animalia	Chordata	Actinopterygii	Percopsiformes	Amblyopsidae	Typhlichthys	Typhlichthys_subterraneus	Southern cavefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
641	Animalia	Chordata	Actinopterygii	Percopsiformes	Aphredoderidae	Aphredoderus	Aphredoderus_sayanus	Pirate perch	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	183454
642	Animalia	Chordata	Actinopterygii	Percopsiformes	Percopsidae	Percopsis	Percopsis_omiscomaycus	Trout-perch	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
643	Animalia	Chordata	Actinopterygii	Percopsiformes	Percopsidae	Percopsis	Percopsis_transmontana	Sand roller	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
644	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Achiridae	Trinectes	Trinectes_maculatus	Hogchoker	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
645	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus_imperialis	Scaldfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
646	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Bothidae	Arnoglossus	Arnoglossus_thori	Grohmanns scaldfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
647	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Etropus	Etropus_crossotus	Fringed flounder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
648	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Paralichthys	Paralichthys_californicus	California halibut	NA	NA	NA	NA	NA	NA	NA	NA	NA	18150	NA	30	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
649	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Paralichthys	Paralichthys_lethostigma	Southern flounder	NA	NA	NA	NA	NA	NA	NA	NA	NA	5131.5	NA	8	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
650	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Paralichthyidae	Pseudorhombus	Pseudorhombus_pentophthalmus	Fivespot flounder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
651	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Eopsetta	Eopsetta_jordani	Petrale sole	2920	2555	NA	NA	NA	NA	NA	NA	NA	1980	NA	25	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
652	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Glyptocephalus	Glyptocephalus_cynoglossus	Witch flounder	NA	NA	NA	NA	NA	NA	NA	NA	NA	1375	NA	25	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
653	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Glyptocephalus	Glyptocephalus_zachirus	Rex sole	NA	NA	NA	NA	NA	NA	NA	NA	NA	825	NA	24	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
654	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossoides	Hippoglossoides_platessoides	American plaice	3216	1460	NA	NA	NA	NA	NA	NA	NA	3520	NA	30	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
655	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossus	Hippoglossus_hippoglossus	Atlantic halibut	3613	3102	NA	NA	NA	NA	NA	NA	NA	176e3	NA	90	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454524795
656	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Hippoglossus	Hippoglossus_stenolepis	Pacific halibut	4927	4562	NA	NA	NA	NA	NA	NA	NA	199650	NA	42	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454585
657	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Isopsetta	Isopsetta_isolepis	Butter sole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
658	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Lepidopsetta	Lepidopsetta_bilineata	Rock sole	3285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
659	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Limanda	Limanda_aspera	Yellowfin sole	3102	1642	NA	NA	NA	NA	NA	NA	NA	233.75	NA	26	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
660	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Limanda	Limanda_ferruginea	Yellowtail flounder	1718	1334	NA	NA	NA	NA	NA	NA	NA	825	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
661	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus_kitt	Lemon dab	1460	1460	NA	NA	NA	NA	NA	NA	NA	1600	NA	23	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
662	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Microstomus	Microstomus_pacificus	Dover sole	2738	2738	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1585
663	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Platichthys	Platichthys_bicoloratus	Stone flounder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
664	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Platichthys	Platichthys_flesus	European flounder	1505	1049	NA	NA	NA	NA	NA	NA	NA	7700	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
665	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Platichthys	Platichthys_stellatus	Starry flounder	NA	NA	NA	NA	NA	NA	NA	NA	NA	5005	NA	24	1	wild	medium	acceptable	NA	NA	NA	NA	NA	1454
666	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pleuronectes	Pleuronectes_platessa	European plaice	1038	1095	NA	NA	NA	NA	NA	NA	NA	3850	NA	50	NA	unknown	medium	acceptable	NA	NA	NA	NA	NA	214454523585
667	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Pseudopleuronectes	Pseudopleuronectes_americanus	Winter flounder	1022	1034	NA	NA	NA	NA	NA	NA	NA	1980	NA	14	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
668	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Reinhardtius	Reinhardtius_hippoglossoides	Greenland halibut	3826	3102	NA	NA	NA	NA	NA	NA	NA	3850	NA	30	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
669	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Pleuronectidae	Reinhardtius	Reinhardtius_stomias	Arrowtooth flounder	NA	NA	NA	NA	NA	NA	NA	NA	NA	1100	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
670	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Rhombosoleidae	Rhombosolea	Rhombosolea_plebeia	Dab	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
671	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Scophthalmidae	Psetta	Psetta_maxima	Turbot	1460	1460	NA	NA	NA	NA	NA	NA	NA	13750	NA	26	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
672	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Scophthalmidae	Scophthalmus	Scophthalmus_rhombus	Brill	NA	NA	NA	NA	NA	NA	NA	NA	NA	4400	NA	6	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
673	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Buglossidium	Buglossidium_luteum	Solenette	1095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
674	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Microchirus	Microchirus_variegatus	Thickback sole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
675	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Pegusa	Pegusa_impar	Adriatic sole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
676	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Pegusa	Pegusa_lascaris	Atlantic sole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
677	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Solea	Solea_solea	Common sole	1460	1460	NA	NA	NA	NA	NA	NA	NA	1650	NA	27	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454585
678	Animalia	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Solea	Solea_vulgaris	Common European sole	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	584	unknown	medium	acceptable	NA	NA	NA	NA	NA	584
679	Animalia	Chordata	Actinopterygii	Polypteriformes	Polypteridae	Polypterus	Polypterus_senegalus	Gray bichir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34	1	captivity	medium	acceptable	NA	NA	NA	NA	NA	1
680	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	Coregonus_albula	Vendace	730	730	NA	NA	NA	NA	NA	NA	NA	550	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
681	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	Coregonus_artedi	Cisco	NA	NA	NA	NA	NA	NA	NA	NA	NA	1842	NA	11	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
682	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	Coregonus_clupeaformis	Lake whitefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	10450	NA	50	NA	unknown	medium	acceptable	NA	NA	NA	NA	NA	454524
683	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	Coregonus_hoyi	Bloater	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
684	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	Coregonus_kiyi	Kiyi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
685	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	Coregonus_muksun	Muksun	NA	NA	NA	NA	NA	NA	NA	NA	NA	7590	NA	23	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
686	Animalia	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus	Coregonus_nasus	Broad whitefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	8800	NA	15	454	wild	medium	acceptable	NA	NA	NA	NA	NA	454
